window,x,y,width
918,64,20,1
919,65,20,1
920,66,20,1
921,67,20,1
922,63,21,1
923,64,21,1
924,65,21,1
925,66,21,1
926,67,21,1
927,63,22,1
928,64,22,1
929,65,22,1
930,66,22,1
931,67,22,1
932,63,23,1
933,64,23,1
934,65,23,1
935,66,23,1
936,67,23,1
937,63,24,1
938,64,24,1
939,65,24,1
940,66,24,1
941,67,24,1
942,63,25,1
943,64,25,1
944,65,25,1
945,66,25,1
946,67,25,1
947,63,26,1
948,64,26,1
949,65,26,1
950,66,26,1
951,67,26,1
952,63,27,1
953,64,27,1
954,65,27,1
955,66,27,1
956,67,27,1
957,63,28,1
958,62,19,1
959,61,19,1
960,60,19,1
961,59,19,1
962,58,19,1
963,57,19,1
964,56,19,1
965,55,19,1
966,62,20,1
967,61,20,1
968,60,20,1
969,59,20,1
970,58,20,1
971,57,20,1
972,56,20,1
973,55,20,1
974,54,20,1
975,62,21,1
976,61,21,1
977,60,21,1
978,59,21,1
979,58,21,1
980,57,21,1
981,56,21,1
982,55,21,1
983,54,21,1
984,62,22,1
985,61,22,1
986,60,22,1
987,59,22,1
988,58,22,1
989,57,22,1
990,56,22,1
991,55,22,1
992,54,22,1
993,53,22,1
994,62,23,1
995,61,23,1
996,60,23,1
997,59,23,1
998,58,23,1
999,57,23,1
1000,56,23,1
1001,55,23,1
1002,54,23,1
1003,53,23,1
1004,52,23,1
1005,62,24,1
1006,61,24,1
1007,60,24,1
1008,59,24,1
1009,58,24,1
1010,57,24,1
1011,56,24,1
1012,55,24,1
1013,54,24,1
1014,53,24,1
1015,52,24,1
1016,51,24,1
1017,62,25,1
1018,61,25,1
1019,60,25,1
1020,59,25,1
1021,58,25,1
1022,57,25,1
1023,56,25,1
1024,55,25,1
1025,54,25,1
1026,53,25,1
1027,52,25,1
1028,51,25,1
1029,50,25,1
1030,62,26,1
1031,61,26,1
1032,60,26,1
1033,59,26,1
1034,58,26,1
1035,57,26,1
1036,56,26,1
1037,55,26,1
1038,54,26,1
1039,53,26,1
1040,52,26,1
1041,51,26,1
1042,50,26,1
1043,49,26,1
1044,48,26,1
1045,47,26,1
1046,46,26,1
1047,45,26,1
1048,44,26,1
1053,62,27,1
1054,61,27,1
1055,60,27,1
1056,59,27,1
1057,58,27,1
1058,57,27,1
1059,56,27,1
1060,55,27,1
1061,54,27,1
1062,53,27,1
1063,52,27,1
1064,51,27,1
1065,50,27,1
1066,49,27,1
1067,48,27,1
1068,47,27,1
1069,46,27,1
1070,45,27,1
1071,44,27,1
1072,62,28,1
1073,61,28,1
1074,60,28,1
1075,59,28,1
1076,58,28,1
1077,57,28,1
1078,56,28,1
1079,55,28,1
1080,54,28,1
1081,53,28,1
1082,52,28,1
1083,51,28,1
1084,50,28,1
